recno,RA,DEC,Name,z,n_z,nR,B-V,U-B,Vmag,n_Vmag,r_Vmag,n_RAh,Sp,r_Sp,Sp2,r_Sp2,FC,RA1950,DE1950
128,260.2541666666666,53.40916666666666,SDSS J17210+5324,2.762," ",*,-0.21,-0.87,19.35," ",3,O,,3," *",1133,0,259.98291666666665,53.45694444444444
129,319.6708333333333,-8.063055555555554,SDSS J21186-0803,," ",*,0.09,-0.79,19.25," ",428,O,BL,428," *",1133,0,319.0041666666666,-8.274166666666666
130,320.7883333333333,-44.943888888888885,Q 2119-4509,3.79," ",*,,,19.2,R,0,O,Q,890," *",0,0,319.9695833333333,-45.158333333333324
131,321.8458333333333,-7.624166666666666,SDSS J21273-0737,0.893," "," ",0.46,-0.51,19.35," ",1890,O,,1890," ?",1891,0,321.1816666666666,-7.841944444444444
132,322.4558333333333,-15.553888888888887,Q 2127.1-1577,3.2," ",*,,,16.5," ",0," ",Q,476," *",2220,0,321.7670833333333,-15.773611111111109
133,328.8770833333333,-31.36333333333333,2QZ J215530-3121,," ",*,,-0.33,18.7,*,504,O,BL,504," *",1260,0,328.1470833333333,-31.60083333333333
134,329.1941666666666,-20.161666666666665,Q 2154-204U,1.882," ",*,,,," ",0,A,Q,1844," ?",1487,0,328.49999999999994,-20.4
135,331.31624999999997,-31.260555555555552,Q J22052-3115,," ",*,,-0.6,19.58,*,1261,O,BL,1261," *",1260,0,330.5929166666666,-31.503888888888884
136,352.9154166666666,-27.33833333333333,2QZ J233139-2720,," ",*,,-0.77,18.83,*,504,O,BL,504," *",1260,0,352.25583333333327,-27.61444444444444
137,357.64874999999995,-0.8722222222222221,Q 2348-011A,3.07,*,*,,,18.5," ",0," ",Q,2457," *",2142,2457,357.00791666666663,-1.1502777777777777
138,357.9466666666666,-0.998611111111111,Q 2349-012,3.12,*,*,,,16.5," ",0," ",Q,2457," *",2142,2457,357.3058333333333,-1.2766666666666664
139,358.1845833333333,-1.1530555555555555,Q 2350-014,1.46,*,*,,,18.0," ",0," ",Q,2457," *",2142,2457,357.54374999999993,-1.431111111111111
140,358.18791666666664,-1.687222222222222,Q 2350-019A,3.1,*,*,,,18.5," ",0," ",Q,2457," *",2142,2457,357.5466666666666,-1.9652777777777775
141,359.65999999999997,1.0675,Q 2356+007,3.17,*,*,,,18.5," ",0," ",Q,2456," *",2142,2455,359.0191666666666,0.7891666666666666
